"";"Parameter_2";"Parameter_type";"Side";"Role";"Kills";"Deaths";"Assists";"CSAt15Min";"CSAtEnd";"GoldAt15Min";"GoldAtEnd";"Games_played.x";"Games_played.y"
"113";"ANB B Butcher";"Player";"Red";"support";4,60300273133737;-11,1234452469935;28,6150121672386;2,75359225697652;8,49466914468268;1003,79980684449;4615,52443188946;NA;14
"114";"ANB Juzu";"Player";"Blue";"top";-1,92319194898066;3,02009194643323;3,02199505316564;11,2793003938023;8,84885022409391;-234,103515478003;-1422,04766911284;NA;2
"115";"ANB kehvo";"Player";"Blue";"bottom";5,13191557498458;-0,666274797107914;1,29577153176444;-36,2790723699732;7,90526632897298;-925,057803527343;734,007978836264;NA;8
"116";"ANB kehvo";"Player";"Red";"bottom";7,09634533919997;-1,70331661851519;0,953632721572966;-33,8900628242358;20,9839409838147;-652,553763755673;3067,2245904097;NA;14
"117";"ANB Kehvo";"Player";"Blue";"bottom";4,90697305225755;0,128615594250109;-1,80031499060625;-50,7101578362276;18,1229596849647;-1432,32809973402;1404,59516186717;NA;3
"118";"ANB Klownz";"Player";"Blue";"support";4,74678146800364;-10,2399432894779;31,0839829689957;-5,84284788915371;0,571622982476788;1324,81861169765;4407,45202382317;NA;2
"119";"ANB Ksaez";"Player";"Blue";"mid";3,40673237445131;-7,00255115723011;8,55896002123721;-14,0679118685169;1,57880927824033;681,506337796007;-412,401933041942;NA;2
"120";"ANB Maged";"Player";"Blue";"top";1,88788598765192;1,66680767390012;2,2846691673929;22,2302165139646;18,2235209513796;246,722168670489;36,5341908770436;NA;8
"121";"ANB Maged";"Player";"Red";"top";3,67677737750871;2,10867681191022;3,78191789327926;8,05884793447682;22,8363419283438;103,102184847682;2305,248687167;NA;14
"122";"ANB Mimic1";"Player";"Blue";"bottom";5,46167234161341;0,338750693197143;0,963734735545444;-55,4082961923832;1,89304748663054;-1752,26064254744;524,830253351417;NA;2
"123";"ANB REV";"Player";"Blue";"top";-1,26368814229012;5,10253216821464;2,67098718926753;21,2023241663649;-21,6062608349745;28,9888832980438;-2504,3552091632;NA;3
"124";"ANB SANTA";"Player";"Blue";"jungle";3,37716699056062;2,02769332008797;5,29523249246043;-30,1852187236938;-33,5549527488137;-763,009445289976;24,535776986778;NA;3
"125";"ANB Secrett";"Player";"Blue";"mid";1,79408756923193;-6,95962179735654;10,2739783937698;-10,0011520474107;6,66957515821055;1093,58529062443;-760,701404394223;NA;8
"126";"ANB Secrett";"Player";"Red";"mid";3,51896234977738;-8,01178807481362;7,50801737417122;-0,249868916050601;33,3745919565229;1031,96677527797;437,41982750818;NA;14
"127";"ANB uden";"Player";"Blue";"support";3,58201364775474;-11,5971767779267;31,0238693348503;-3,57992202497885;-4,90910488693532;1227,67615648827;3822,6600162485;NA;3
"128";"ANC Brizz";"Player";"Blue";"bottom";2,83565239482603;2,50975799450867;-4,1153666180515;-47,0629944199203;-64,0012164774436;-1945,25086751035;-2768,81160223877;NA;4
"129";"ANC Brizz";"Player";"Red";"bottom";6,87305086870915;0,343787054129754;-0,0212744361134208;-51,6333352321932;-143,229224339391;-2021,02130449727;-2926,13414443091;NA;3
"130";"ANC Deidara";"Player";"Blue";"top";-4,72635612814646;2,45376212889554;1,28697796373607;17,0077561402845;34,5715018962868;475,419505885281;-1867,26874200343;NA;4
"131";"ANC Deidara";"Player";"Red";"top";-2,18092257700776;-0,650793230707135;7,38928059122952;4,05489394096826;7,67796946077815;553,016548380571;-362,728955508301;NA;3
"132";"ANC Fragola";"Player";"Blue";"jungle";4,85494302368313;3,04970708699636;-1,21991499845797;-23,4209330277979;-35,9553811954595;-1050,14234728537;-464,473939233981;NA;4
"133";"ANC Fragola";"Player";"Red";"jungle";6,36485132326047;-1,61159769677283;6,2312135234047;-2,09084502373242;-8,46492917495091;-368,604678222737;1906,73075177464;NA;3
"134";"ANC Paulcannon";"Player";"Blue";"support";1,76104449624625;-9,97327818951232;17,8678654330108;-0,634049916560612;-9,21216609177125;-40,3515525925678;964,058284259923;NA;4
"135";"ANC Paulcannon";"Player";"Red";"support";3,03524886317476;-14,5474654614331;28,2914045003314;0,0611642855501949;-3,93189096174695;125,829023467011;3250,98206432829;NA;3
"136";"ANC Vyctor";"Player";"Blue";"mid";-1,10563170953638;-2,08538865633644;1,73740787529941;-24,8788501054265;-35,2563048238632;-45,0333156591168;-3891,87487853553;NA;4
"137";"ANC Vyctor";"Player";"Red";"mid";4,17673735584661;-9,32126088332824;8,72640164570995;-13,1081158403985;32,7188195606671;982,748441942368;764,094802012907;NA;3
"138";"Anivia";"Champion";"Blue";"mid";-3,57648846764668;0,309560107741405;-2,82871332797673;-0,334393327279885;-26,1198286759472;-585,992059435192;-1345,83414008344;3;NA
"139";"Anivia";"Champion";"Blue";"top";0,169983245759378;0,413279155624768;-1,39226015395378;-8,5351565389803;-0,960113996819091;81,0174211029789;306,659122283448;3;NA
"140";"Anivia";"Champion";"Red";"mid";-9,739660896695;-0,333372122419805;-2,47464607576379;14,0945244818928;13,4847227897196;-764,430010190464;-2940,99977319609;5;NA
"141";"Anivia";"Champion";"Red";"top";-1,34968152027067;2,18699422961197;-1,73019804477336;4,61611869435681;-1,5965848420772;-100,25439041515;-605,904420937714;3;NA
"142";"ANK Burence";"Player";"Red";"support";4,89877683830233;-10,9945779997869;25,7166951084831;-3,59811205550019;5,62118166980051;1320,29840014941;3845,05364093055;NA;1
"143";"ANK FikusMeiste";"Player";"Red";"top";-2,0084840904406;4,47140289324937;1,88069402684337;4,96292104840343;1,50609854446725;285,295267420466;-915,672737712469;NA;1
"144";"ANK Pcelica";"Player";"Red";"bottom";2,706845851659;-3,39804196316454;2,22702732397048;-14,6935266059494;27,43469485542;-451,505454847862;422,946742964755;NA;1
"145";"ANK Soge";"Player";"Red";"mid";6,99584009396199;-4,86718250191601;-0,711445851062107;6,95352609517251;16,9672803277471;1853,98836876189;465,398446499025;NA;1
"146";"ANK Uroskg";"Player";"Red";"jungle";5,02255589279726;-2,84730752510586;8,6932745697916;-26,9411612874138;-15,1354431635546;-1761,25187025407;2096,17793325101;NA;1
"147";"Annie";"Champion";"Blue";"mid";-1,11936275474301;1,3895628651422;0,0558096959386211;-0,944603219233708;-12,4927478339685;-145,023703778092;-353,001800643805;5;NA
"148";"Annie";"Champion";"Blue";"support";-0,640342804514647;-1,70895355812546;-4,00198489613947;4,61781582202063;9,92390158872076;169,749348824595;-387,603236692728;2;NA
"149";"Annie";"Champion";"Red";"mid";-8,48534953982142;0,00291847268063502;-0,454408389344063;10,2412724153924;-4,18159866785757;-824,288256941416;-2917,00412733231;11;NA
"150";"Annie";"Champion";"Red";"support";3,98399885387266;-1,5281476151036;0,76780224732023;3,35878814748591;14,1242438363132;360,598465136113;2025,49906276101;1;NA
"151";"AOMA Guppy";"Player";"Blue";"bottom";6,45307512092638;0,118361833736983;-3,04038522227005;-60,9054860534472;-36,2829602074826;-1895,76629641289;-473,000235010512;NA;1
"152";"AOMA Guppy";"Player";"Red";"bottom";8,61473126137275;-2,59750780001468;8,48333664295453;-29,8794008761275;-9,32646334517253;-1448,94975550269;2362,9104278993;NA;2
"153";"AOMA MaiYuk";"Player";"Blue";"top";-0,901522049273361;4,49929904278605;0,149657364454447;29,2583788146258;-13,914734998962;885,091562560507;-2006,78371667065;NA;6
"154";"AOMA MaiYuk";"Player";"Red";"top";3,05417302673638;0,0703805709833045;6,79636079504183;8,44139190686133;-8,60655342067102;372,673130427398;986,844821754862;NA;11
"155";"AOMA MrHB";"Player";"Blue";"bottom";4,17118582756115;0,342640844641322;4,19894142658609;-39,3645231049996;1,20530231960082;-1527,41600839037;344,080875359576;NA;5
"156";"AOMA MrHB";"Player";"Red";"bottom";8,61714808345278;-1,31150687666785;5,42372029594552;-33,8571816914443;31,0757752502145;-1276,92663266885;3766,85951845509;NA;9
"157";"AOMA Oleg";"Player";"Blue";"jungle";6,81341716968493;-3,32863525662043;5,49887357400889;21,2330721104802;2,90789543734969;281,609522092218;2727,83703227085;NA;4
"158";"AOMA Oleg";"Player";"Red";"jungle";8,69517303919438;-4,49179306505639;9,53603674721203;-11,9347128894886;3,10509161125392;-170,695846417823;4472,46653665936;NA;5
"159";"AOMA Painful";"Player";"Blue";"mid";0,626504087532819;-7,46583957895337;8,50017557124997;-15,3090025685249;31,7996572842781;1295,5330714648;67,2194275141479;NA;6
"160";"AOMA Painful";"Player";"Red";"mid";2,96119499543065;-8,67769594915933;9,87667403459888;-11,1917903393218;49,881280173253;867,580020897247;1480,3902637968;NA;11
"161";"AOMA Pipibaat";"Player";"Blue";"jungle";7,72797480807437;-2,53064246714309;2,54592281643184;-13,9865894961697;-13,5332076812875;-525,361460883901;2444,52525388371;NA;2
"162";"AOMA Pipibaat";"Player";"Red";"jungle";4,40524243713081;-3,13773315400488;9,89773625542206;-12,6366150851764;-19,5413642702318;-1140,1851755763;2060,53863827693;NA;6
"163";"AOMA Stookbeer";"Player";"Blue";"support";2,65148122540299;-7,04193174836304;18,4706780982532;-6,604070096714;5,74745073179109;185,481167351552;2277,72306114233;NA;2
