"";"Role";"BlueTeamChampion";"RedTeamChampion";"games_played";"blue_side_kills";"blue_side_deaths";"blue_side_assists";"blue_side_cs_at_15_min";"blue_side_cs_at_end";"blue_side_gold_at_15_min";"blue_side_gold_at_end";"red_side_kills";"red_side_deaths";"red_side_assists";"red_side_cs_at_15_min";"red_side_cs_at_end";"red_side_gold_at_15_min";"red_side_gold_at_end";"blue_side_kills_advantage";"blue_side_deaths_advantage";"blue_side_assists_advantage";"blue_side_cs_at_15_min_advantage";"blue_side_cs_at_end_advantage";"blue_side_gold_at_15_min_advantage";"blue_side_gold_at_end_advantage"
"1370";"support";"Alistar";"Poppy";11;0,818181818181818;3,27272727272727;4,72727272727273;19,8181818181818;26,9090909090909;3269,54545454545;6242,72727272727;1,36363636363636;1,81818181818182;7,27272727272727;19,0909090909091;27,1818181818182;3354,18181818182;6717,72727272727;-0,545454545454545;1,45454545454545;-2,54545454545454;0,727272727272727;-0,272727272727273;-84,6363636363635;-475
"1371";"support";"Alistar";"Pyke";1;0;7;10;17;21;3376;5613;2;2;9;20;37;4998;7187;-2;5;1;-3;-16;-1622;-1574
"1372";"support";"Alistar";"Rakan";37;0,513513513513513;3,08108108108108;7,16216216216216;17,6216216216216;27,4324324324324;3023,37837837838;7013,81081081081;0,72972972972973;1,78378378378378;8,51351351351351;18,2972972972973;32,8378378378378;3196,7027027027;7589,45945945946;-0,216216216216216;1,2972972972973;-1,35135135135135;-0,675675675675677;-5,40540540540541;-173,324324324324;-575,648648648648
"1373";"support";"Alistar";"Rell";96;0,552083333333333;3,40625;7,14583333333333;17,5208333333333;28,3020833333333;2918,375;6686,28125;0,791666666666667;2,82291666666667;8,6875;17,3229166666667;29,6041666666667;2985,38541666667;7066,86458333333;-0,239583333333333;0,583333333333333;-1,54166666666667;0,197916666666664;-1,30208333333334;-67,0104166666665;-380,583333333333
"1374";"support";"Alistar";"Renata";4;1,25;2,75;4,5;21,75;34,75;2812,75;7033,25;0,75;2;8;19,25;32,5;3084,75;6922,25;0,5;0,75;-3,5;2,5;2,25;-272;111
"1375";"support";"Alistar";"TahmKench";1;0;2;2;26;36;3277;6197;0;1;6;18;27;3298;7395;0;1;-4;8;9;-21;-1198
"1376";"support";"Alistar";"Yuumi";1;1;0;9;9;17;3410;5850;0;4;0;13;17;2707;4613;1;-4;9;-4;0;703;1237
"1377";"support";"Amumu";"Leona";1;0;5;5;18;22;2699;5213;1;2;6;20;27;2756;6302;-1;3;-1;-2;-5;-57;-1089
"1378";"support";"Amumu";"Rakan";1;1;4;5;16;29;3454;5554;1;2;8;20;28;3507;5835;0;2;-3;-4;1;-53;-281
"1379";"support";"Annie";"Bard";1;1;0;7;25;35;3410;6181;0;5;8;13;21;3425;5589;1;-5;-1;12;14;-15;592
"1380";"support";"Annie";"Nautilus";1;0;2;0;23;27;3171;4198;1;1;4;25;26;3232;4817;-1;1;-4;-2;1;-61;-619
"1381";"support";"Ashe";"Renata";1;1;1;9;23;44;3537;8078;1;2;3;24;38;3439;6396;0;-1;6;-1;6;98;1682
