"";"Parameter";"Parameter_type";"Role";"Side";"Kills above expected per game";"Deaths above expected per game";"Assists above expected per game";"CSAt15Min above expected per game";"CSAtEnd above expected per game";"GoldAt15Min above expected per game";"GoldAtEnd above expected per game";"Games_played";"Kills";"Deaths";"Assists";"CS_at_15_min";"CS_at_end";"Gold_at_15_min";"Gold_at_end"
"307";"T1 Smash";"Player";"bottom";"Red";3,61738625000326;-1,73364144886206;3,14150047329628;4,93832628262417;0,441848052685653;978,94889632686;1588,99298042037;8;5,375;0,75;4,125;128,625;277,75;5897,875;13221
"308";"Taliyah";"Champion";"mid";"Blue";-1,24627835550931;1,81529127236186;-3,0515987382621;-3,01653343412318;-4,23558327470295;-242,130795332245;-800,122989010394;13;2,15384615384615;2,23076923076923;4,84615384615385;129,846153846154;252,615384615385;5071,76923076923;10905,2307692308
"309";"Taliyah";"Champion";"mid";"Red";-1,27707340686778;-0,0260494524791718;0,580192555954701;1,16233160051465;5,60750525402826;-231,99710264036;130,811493805196;28;2,03571428571429;1,64285714285714;5,96428571428571;132,142857142857;265,464285714286;5003,57142857143;11829,6428571429
"310";"Taric";"Champion";"support";"Blue";-1,05750423659231;3,17206721336063;-4,70837346528987;11,9894142982455;15,6621316715385;-183,982355238558;-464,620707588613;2;0;4,5;2;30,5;42;3161;5718,5
"311";"Thresh";"Champion";"support";"Blue";-2,25166558150684;0,325027755035356;-6,63661904497013;8,59598413825628;3,4161395684082;-457,919238454045;-1575,51611662925;1;0;2;7;15;20;3814;8708
"312";"Tristana";"Champion";"bottom";"Blue";3,34040505264231;-3,86140548838428;9,74226120971742;-6,83309259961913;2,11183636062083;72,7141914280365;801,542096312146;1;2;2;4;125;268;5445;11932
"313";"Tristana";"Champion";"bottom";"Red";-0,474556365963422;-1,01046526224573;-2,20513305697478;-11,6724472895019;-17,5553890029736;-743,545544078198;-89,1870242599867;3;2,33333333333333;1,33333333333333;3;114,333333333333;209;4762,66666666667;9368
"314";"Tristana";"Champion";"mid";"Red";1,42652684062823;0,35209270712316;-0,147967952686947;-11,6860830255201;24,6203240507914;227,385200832872;2245,16445169541;2;4,5;1;3,5;127,5;275;5266;13181,5
"315";"Tryndamere";"Champion";"mid";"Red";2,55789751309179;-1,23934858021091;-4,92319428366561;-4,35189321611357;39,152403729817;744,076367937232;2045,55091070312;1;4;0;1;127;229;5943;11088
"316";"TwistedFate";"Champion";"mid";"Blue";-3,73808768037084;2,12224609680204;-7,16841876361481;3,80287177385317;-24,2745907607752;381,935930987069;-1722,72315867221;2;0,5;1,5;0,5;140;221;6247,5;9742
"317";"Udyr";"Champion";"top";"Blue";-0,374463987819785;2,34211614000168;-4,39234028577712;-7,9272674153353;-34,4749007978004;287,581565355465;-607,044165772519;1;2;4;2;92;248;4372;12514
"318";"Varus";"Champion";"bottom";"Blue";1,76592451947067;-1,99772026098257;4,67291824481442;-8,58818991497475;-10,8103017441903;-239,950893376453;664,583784799257;17;2,35294117647059;1,76470588235294;4,17647058823529;133;280,294117647059;5219;12002,4117647059
"319";"Varus";"Champion";"bottom";"Red";1,36588743428092;-1,20390793167372;-1,08451472814118;12,8584402982421;7,64178222699407;404,536904629083;751,783369310085;22;3,59090909090909;1,13636363636364;4,68181818181818;131,909090909091;262,272727272727;5292,90909090909;11905,5454545455
"320";"Vayne";"Champion";"top";"Blue";-7,46899924462152;9,24960508485572;-4,38659003279171;-2,34888173855191;-70,6137142937562;-760,912006599446;-5281,58898087747;1;1;6;0;105;206;4207;8914
"321";"Vex";"Champion";"mid";"Red";-0,61965145158271;1,29623686198554;-4,62124707537997;3,22505439465735;13,3315861240543;131,824959777627;-1306,29640712138;1;1;2;4;137;251;4957;10314
"322";"Vi";"Champion";"jungle";"Blue";0,985769006249745;-1,84797058017748;-4,51725762846417;-10,4729938355404;7,03974151588299;-50,5160995061105;-638,043123578287;12;1,25;1,58333333333333;4,16666666666667;105,75;190,833333333333;4740,25;9346,41666666667
"323";"Vi";"Champion";"jungle";"Red";1,64502043392325;1,93189407065733;-7,17847569416985;-21,6017577233079;-24,0141001177497;-292,786155568495;399,386358274691;19;2,21052631578947;1,73684210526316;4,63157894736842;103,842105263158;187,263157894737;4970,47368421053;9695,57894736842
"324";"Viego";"Champion";"jungle";"Blue";2,98385141865267;-2,55414979817407;-3,62093982230419;2,37367060616998;37,981290199227;487,057147761002;1716,45875838757;9;3,55555555555556;2,44444444444444;3,77777777777778;108,444444444444;221,222222222222;4957,44444444444;11843,8888888889
"325";"Viego";"Champion";"jungle";"Red";1,1167452898072;2,57997585967834;-7,29370860527659;-26,1600585886489;-34,4311816841609;-444,106540514952;223,542055173243;9;3,33333333333333;2,33333333333333;5,22222222222222;104,666666666667;183;5075,22222222222;10011,3333333333
"326";"Viego";"Champion";"mid";"Red";-1,39097547503763;-0,223824383957304;2,67133913687379;21,5834887099338;41,2970454358184;-38,2456361172403;1420,65547921594;1;3;0;7;142;286;5689;12909
"327";"Viktor";"Champion";"mid";"Blue";-0,649765389552627;1,77408025784635;-4,91974483659059;6,42648924562948;-10,6951918385126;-85,8610836506303;-1200,36422157009;15;2,26666666666667;1,8;3,06666666666667;133;255,066666666667;5143,06666666667;10910,4666666667
"328";"Viktor";"Champion";"mid";"Red";-0,655703241136498;0,415897421352091;-1,14605635072409;7,68174375761244;13,7832643879789;-321,040384934541;-10,9475115044641;15;2,66666666666667;1,06666666666667;4,06666666666667;138,333333333333;252,133333333333;5161,8;10841,3333333333
"329";"Xayah";"Champion";"bottom";"Blue";2,67428124658651;-1,71240181834675;3,70970011109243;-8,06677412303225;9,29061457405617;-137,874348955569;1087,59418243645;12;2,5;2;3,83333333333333;133,833333333333;304,25;5287,41666666667;12636,6666666667
"330";"Xayah";"Champion";"bottom";"Red";2,32578324808168;-1,68625671374586;-0,93760591709563;6,30209434285718;14,8824743226941;373,448199663479;1266,47730805809;14;3,28571428571429;1;3,57142857142857;132,642857142857;289,214285714286;5618,5;12864,0714285714
